Día de compra,Fecha de compra,Hora de compra,Comprado por,Contacto,Membresía,Frecuencia,Días de prueba,Auto renovaciones,Renovaciones pagadas,Día de inicio del último ciclo,Fecha de inicio del último ciclo,Hora de inicio del último ciclo,Día de fin del último ciclo,Fecha de fin del último ciclo,Hora de fin del último ciclo,Estado,Cancelado por,Ganancia,Método de pago,Origen de pago,Origen,Nombre del origen
Tuesday,2023-07-06,11:35:19,Cliente 409,+527954601049,Premium,Mensual,30,No,0,Friday,2020-12-15,03:44:44,Monday,2024-03-19,11:16:18,Activo,Cliente 424,$878.23,PayPal,Tienda física,,
Friday,2022-06-28,00:01:46,Cliente 327,+523281617064,VIP,Semanal,30,No,3,Sunday,2020-01-30,22:18:41,Friday,2023-09-13,09:15:31,Cancelado,,$567.65,Transferencia bancaria,Online,Campaña publicitaria,Facebook
Sunday,2023-06-21,05:29:50,Cliente 386,+523896579968,Premium,Anual,7,Sí,0,Wednesday,2021-09-22,03:11:14,Tuesday,2020-07-07,18:39:19,Inactivo,Cliente 165,,Tarjeta de crédito,Tienda física,Campaña publicitaria,Amigo
Thursday,2023-12-05,09:16:17,Cliente 330,+529273201407,Básica,Mensual,14,Sí,1,Friday,2023-11-02,16:46:29,Thursday,2021-10-09,05:14:00,Activo,,$289.54,Transferencia bancaria,Online,,Facebook
Saturday,2024-12-13,06:02:03,Cliente 236,+529534587025,Básica,Semanal,14,No,8,Thursday,2021-07-07,07:56:07,Tuesday,2020-03-19,11:45:48,Cancelado,,,PayPal,Tienda física,Campaña publicitaria,Google Ads
Friday,2020-09-17,17:18:58,Cliente 14,+525431329053,Premium,Semanal,30,Sí,0,Tuesday,2023-01-02,11:04:25,Friday,2020-12-08,18:08:30,Cancelado,Cliente 411,$372.32,Tarjeta de crédito,Tienda física,Campaña publicitaria,Amigo
Friday,2021-04-24,05:44:41,Cliente 491,+522893363313,VIP,Semanal,7,No,5,Sunday,2021-12-27,03:36:57,Tuesday,2023-07-17,14:42:55,Cancelado,Cliente 385,$212.01,PayPal,Online,Recomendación,Facebook
Monday,2023-09-16,09:55:22,Cliente 328,+521442176898,Básica,Anual,7,No,8,Saturday,2023-12-04,12:55:29,Sunday,2024-12-16,23:39:16,Cancelado,,$220.52,PayPal,Online,,
Wednesday,2023-06-29,07:19:59,Cliente 17,+524370899972,Básica,Semanal,30,No,4,Friday,2022-04-27,13:38:30,Saturday,2022-09-28,04:41:04,Activo,Cliente 260,$142.71,PayPal,Online,Recomendación,Facebook
Tuesday,2023-12-28,20:17:51,Cliente 460,+523350458297,VIP,Semanal,7,Sí,8,Thursday,2021-10-23,04:06:38,Saturday,2022-05-28,20:52:35,Cancelado,Cliente 186,,Tarjeta de crédito,Online,,
Thursday,2024-03-20,16:19:47,Cliente 261,+525628761091,Premium,Anual,7,No,6,Friday,2024-11-21,20:12:47,Friday,2020-01-19,13:13:03,Cancelado,Cliente 58,$380.92,Transferencia bancaria,Tienda física,Recomendación,Facebook
Saturday,2022-02-05,16:25:58,Cliente 92,+526957138822,Básica,Anual,30,No,2,Friday,2020-10-06,01:51:48,Thursday,2022-07-11,12:50:19,Cancelado,Cliente 51,,Tarjeta de crédito,Tienda física,,Facebook
Tuesday,2020-05-10,04:12:12,Cliente 65,+529204961369,VIP,Semanal,7,No,7,Friday,2021-09-03,06:37:37,Wednesday,2021-02-07,14:40:51,Inactivo,Cliente 13,$886.42,PayPal,Tienda física,,
Tuesday,2020-07-09,16:49:03,Cliente 255,+526453923909,Premium,Semanal,14,Sí,4,Sunday,2020-02-23,21:50:45,Wednesday,2022-11-17,00:48:30,Activo,Cliente 8,,Tarjeta de crédito,Online,,Google Ads
Sunday,2024-09-25,17:13:03,Cliente 97,+529348935597,Básica,Anual,14,Sí,10,Monday,2023-02-11,06:31:54,Monday,2022-01-04,17:26:04,Activo,,$815.09,Tarjeta de crédito,Tienda física,Campaña publicitaria,Google Ads
Friday,2022-11-02,12:58:09,Cliente 142,+525770975845,Premium,Anual,7,No,9,Thursday,2023-05-11,20:54:48,Monday,2020-04-07,17:48:30,Cancelado,,,Tarjeta de crédito,Tienda física,,
Wednesday,2020-03-19,11:09:43,Cliente 146,+528433427314,Básica,Mensual,30,No,1,Sunday,2024-03-03,23:54:44,Monday,2020-12-01,05:40:45,Activo,,$213.09,PayPal,Online,Recomendación,Google Ads
Thursday,2023-11-27,14:58:57,Cliente 350,+522664829950,Básica,Mensual,14,Sí,4,Friday,2024-07-14,22:46:01,Thursday,2022-05-08,19:09:07,Activo,Cliente 5,,Transferencia bancaria,Tienda física,,Amigo
Tuesday,2023-05-18,08:55:30,Cliente 14,+525539265639,Premium,Anual,7,Sí,10,Sunday,2024-10-29,04:56:32,Tuesday,2024-08-28,14:14:02,Cancelado,Cliente 13,,Transferencia bancaria,Tienda física,Campaña publicitaria,Google Ads
Wednesday,2023-02-24,03:34:47,Cliente 8,+524315385517,Premium,Mensual,30,No,10,Thursday,2021-10-26,18:55:45,Tuesday,2021-08-08,21:29:06,Cancelado,,,Transferencia bancaria,Online,Recomendación,
Tuesday,2022-07-26,04:06:34,Cliente 340,+524924972003,Básica,Mensual,7,No,1,Thursday,2021-01-03,02:39:55,Tuesday,2021-03-03,01:23:35,Cancelado,Cliente 103,$389.09,PayPal,Tienda física,Campaña publicitaria,
Sunday,2021-04-02,00:19:58,Cliente 380,+529180605549,VIP,Mensual,30,Sí,9,Monday,2020-12-03,10:52:18,Monday,2024-08-18,15:18:50,Cancelado,,,PayPal,Online,Recomendación,Facebook
Monday,2023-09-28,21:04:53,Cliente 155,+526274487301,Premium,Anual,14,No,2,Sunday,2024-04-21,16:32:52,Monday,2024-10-25,11:51:13,Activo,,,Tarjeta de crédito,Online,Campaña publicitaria,Facebook
Saturday,2021-04-25,09:37:09,Cliente 370,+524818331718,Premium,Mensual,30,Sí,0,Wednesday,2021-11-11,02:18:25,Friday,2024-08-27,15:08:50,Inactivo,,,Transferencia bancaria,Tienda física,Recomendación,Google Ads
Friday,2023-05-03,22:29:15,Cliente 117,+529777913176,Básica,Anual,14,Sí,0,Sunday,2022-05-29,10:28:42,Monday,2021-10-21,01:16:42,Activo,,$681.96,Transferencia bancaria,Tienda física,Campaña publicitaria,Google Ads
Tuesday,2020-08-28,22:37:29,Cliente 393,+526507432727,Básica,Anual,30,No,9,Saturday,2023-02-17,07:01:53,Monday,2022-03-23,08:22:35,Inactivo,,$733.76,Tarjeta de crédito,Tienda física,Campaña publicitaria,
Saturday,2024-07-15,19:32:37,Cliente 354,+527432515101,VIP,Semanal,30,No,10,Sunday,2024-09-06,19:45:26,Friday,2020-10-18,11:47:50,Inactivo,,$873.81,PayPal,Online,Campaña publicitaria,Facebook
Friday,2024-03-24,20:57:47,Cliente 247,+528555585538,Premium,Mensual,30,No,2,Friday,2024-05-29,22:16:38,Friday,2023-12-12,13:11:01,Inactivo,,$490.21,PayPal,Tienda física,,Facebook
Thursday,2023-07-27,13:27:06,Cliente 491,+524965334079,VIP,Anual,14,Sí,9,Tuesday,2021-09-12,08:32:31,Wednesday,2021-12-03,01:16:31,Activo,Cliente 39,,Tarjeta de crédito,Online,,
Wednesday,2022-07-08,19:59:56,Cliente 38,+527022018302,Básica,Semanal,7,No,9,Thursday,2023-10-21,04:50:29,Thursday,2022-06-13,07:22:00,Inactivo,,,Transferencia bancaria,Tienda física,,Amigo
Tuesday,2021-04-29,23:24:44,Cliente 141,+522612365408,Básica,Semanal,30,No,0,Monday,2020-04-25,16:20:25,Thursday,2024-05-09,23:21:07,Inactivo,,,PayPal,Online,,Amigo
Tuesday,2021-07-11,17:04:54,Cliente 36,+524902775951,Premium,Semanal,7,Sí,3,Thursday,2021-05-30,10:55:57,Sunday,2023-10-04,13:17:03,Cancelado,Cliente 10,$804.63,Tarjeta de crédito,Tienda física,,Amigo
Saturday,2023-12-27,00:19:07,Cliente 321,+529497437503,Básica,Anual,14,Sí,9,Tuesday,2024-06-09,01:24:25,Tuesday,2022-04-29,12:28:38,Activo,Cliente 134,,Tarjeta de crédito,Online,,Google Ads
Friday,2020-04-02,10:19:35,Cliente 469,+527057082513,Premium,Mensual,14,Sí,10,Saturday,2023-02-13,09:47:44,Tuesday,2021-10-06,05:07:22,Activo,,$573.02,Transferencia bancaria,Tienda física,,Amigo
Friday,2022-08-01,06:22:32,Cliente 141,+524525275038,VIP,Semanal,14,No,6,Monday,2021-09-14,03:49:15,Monday,2021-09-10,10:13:17,Inactivo,,,Transferencia bancaria,Online,,Amigo
Wednesday,2020-10-09,06:01:20,Cliente 460,+523026689123,Básica,Semanal,30,No,7,Sunday,2024-10-08,19:21:50,Tuesday,2021-04-22,10:41:49,Inactivo,Cliente 183,$212.23,PayPal,Online,Campaña publicitaria,Facebook
Sunday,2023-02-12,05:54:31,Cliente 160,+525023701172,Premium,Semanal,30,Sí,2,Sunday,2024-02-10,05:10:41,Tuesday,2023-08-09,16:46:28,Cancelado,Cliente 482,$895.37,PayPal,Tienda física,Recomendación,Google Ads
Wednesday,2024-07-05,05:43:48,Cliente 45,+527171079925,Premium,Semanal,14,Sí,4,Saturday,2023-06-06,23:49:02,Wednesday,2021-01-01,08:54:35,Cancelado,Cliente 120,$747.75,Tarjeta de crédito,Tienda física,Recomendación,Amigo
Sunday,2022-03-18,06:16:26,Cliente 329,+521383333326,Básica,Semanal,14,No,4,Wednesday,2024-01-03,14:37:19,Wednesday,2023-04-04,09:19:21,Activo,,,PayPal,Tienda física,Recomendación,Amigo
Saturday,2020-07-30,19:03:16,Cliente 424,+521426696217,Premium,Anual,14,Sí,3,Friday,2021-09-06,19:29:57,Thursday,2020-08-22,21:27:53,Inactivo,Cliente 308,$700.71,Transferencia bancaria,Online,,Google Ads
Wednesday,2020-05-31,06:07:36,Cliente 177,+528372461481,Premium,Semanal,30,No,1,Saturday,2022-04-24,09:30:15,Tuesday,2021-10-17,10:45:58,Inactivo,Cliente 308,,Transferencia bancaria,Online,Recomendación,Google Ads
Saturday,2021-08-17,23:17:03,Cliente 84,+525365193087,Básica,Semanal,7,Sí,10,Saturday,2020-03-14,00:04:38,Tuesday,2022-04-27,04:19:18,Cancelado,,,Tarjeta de crédito,Tienda física,Campaña publicitaria,Google Ads
Wednesday,2023-05-23,05:16:59,Cliente 369,+528514077880,VIP,Anual,30,No,5,Sunday,2020-12-17,05:51:15,Monday,2023-04-29,12:24:36,Activo,,$515.18,Transferencia bancaria,Online,Campaña publicitaria,
Tuesday,2020-09-16,06:10:55,Cliente 93,+529929295134,VIP,Mensual,30,Sí,6,Tuesday,2021-08-11,12:01:17,Friday,2024-05-14,18:08:15,Inactivo,Cliente 235,$866.82,PayPal,Tienda física,,
Monday,2021-10-15,06:20:12,Cliente 25,+525117905989,Premium,Mensual,14,No,8,Sunday,2020-10-06,23:52:19,Thursday,2024-10-15,05:48:48,Activo,,,Transferencia bancaria,Tienda física,Recomendación,Google Ads
Wednesday,2022-12-29,19:07:03,Cliente 339,+525277065824,Básica,Mensual,7,Sí,3,Wednesday,2023-09-22,13:52:06,Friday,2021-07-30,03:40:14,Cancelado,,,Transferencia bancaria,Online,Campaña publicitaria,Amigo
Thursday,2022-08-30,17:19:00,Cliente 190,+524276813858,Básica,Anual,7,No,3,Monday,2024-08-08,00:39:02,Thursday,2020-03-28,07:51:06,Cancelado,Cliente 492,,PayPal,Tienda física,Campaña publicitaria,Amigo
Tuesday,2023-08-25,06:51:46,Cliente 138,+525809951873,Básica,Anual,14,No,9,Thursday,2021-05-08,14:33:37,Monday,2021-04-25,05:23:27,Cancelado,Cliente 382,$552.83,Transferencia bancaria,Tienda física,,Facebook
Saturday,2020-09-12,17:54:52,Cliente 333,+525832673709,Básica,Anual,7,Sí,8,Wednesday,2024-11-01,04:57:55,Friday,2020-12-26,15:05:43,Cancelado,,,PayPal,Tienda física,Recomendación,
Sunday,2024-03-05,23:04:41,Cliente 207,+527304168168,Básica,Semanal,14,No,4,Friday,2020-10-26,17:42:15,Thursday,2023-04-30,20:51:35,Inactivo,,$546.98,Transferencia bancaria,Tienda física,,Amigo
Saturday,2020-09-04,06:34:30,Cliente 58,+525625734612,Premium,Anual,7,No,7,Tuesday,2021-01-22,14:31:19,Friday,2021-02-16,00:46:15,Inactivo,,$670.89,Transferencia bancaria,Online,Recomendación,
Friday,2021-12-15,23:40:52,Cliente 156,+526466334360,VIP,Anual,14,No,1,Sunday,2020-11-04,05:35:11,Tuesday,2020-02-20,02:18:26,Activo,,$454.31,Transferencia bancaria,Tienda física,Recomendación,
Monday,2022-12-15,08:07:21,Cliente 315,+524100632298,Premium,Anual,30,No,0,Friday,2020-07-07,12:44:30,Wednesday,2020-01-08,19:15:23,Inactivo,,,Tarjeta de crédito,Online,,Amigo
Friday,2022-01-28,10:16:15,Cliente 89,+523071461609,Premium,Anual,30,Sí,9,Tuesday,2024-03-24,17:46:43,Wednesday,2024-07-05,06:17:37,Cancelado,,,Transferencia bancaria,Online,,Amigo
Monday,2023-03-04,15:03:32,Cliente 334,+522215600130,VIP,Semanal,7,No,4,Friday,2023-09-11,13:12:16,Saturday,2023-06-06,10:31:00,Activo,Cliente 349,,Transferencia bancaria,Online,Campaña publicitaria,Amigo
Tuesday,2021-10-10,20:15:15,Cliente 322,+521067808297,Básica,Anual,30,No,0,Sunday,2024-05-13,04:19:18,Tuesday,2022-02-01,04:35:08,Cancelado,Cliente 316,,Transferencia bancaria,Online,,Amigo
Sunday,2022-10-25,07:09:47,Cliente 397,+526311025564,VIP,Mensual,30,No,5,Tuesday,2022-02-14,06:27:10,Friday,2023-10-31,11:19:15,Activo,Cliente 433,$871.47,Tarjeta de crédito,Tienda física,,Google Ads
Thursday,2021-02-10,03:30:13,Cliente 401,+526360184665,VIP,Mensual,30,Sí,7,Tuesday,2021-03-26,03:06:24,Tuesday,2023-03-25,15:31:28,Cancelado,Cliente 285,$554.28,PayPal,Tienda física,Recomendación,
Saturday,2020-05-15,16:42:07,Cliente 197,+529754861893,Premium,Mensual,30,Sí,1,Thursday,2024-08-31,05:58:56,Wednesday,2020-08-07,13:06:34,Inactivo,Cliente 381,$886.09,Transferencia bancaria,Tienda física,,Google Ads
Sunday,2022-04-17,18:24:28,Cliente 401,+523555337221,VIP,Mensual,30,No,0,Friday,2022-01-29,01:49:29,Monday,2020-02-12,14:58:36,Cancelado,,$511.11,Transferencia bancaria,Tienda física,,Google Ads
Friday,2020-02-14,07:57:31,Cliente 243,+522743314532,Básica,Anual,30,Sí,2,Thursday,2023-05-11,18:00:13,Monday,2020-02-10,18:03:29,Cancelado,Cliente 36,$316.65,PayPal,Tienda física,Recomendación,Facebook
Friday,2020-10-21,21:01:08,Cliente 489,+528707856751,VIP,Semanal,14,Sí,9,Saturday,2022-07-18,22:35:16,Tuesday,2023-07-24,10:14:08,Cancelado,,$783.90,Transferencia bancaria,Tienda física,Recomendación,Google Ads
Tuesday,2020-03-14,01:51:46,Cliente 258,+526912749911,Básica,Anual,7,No,4,Saturday,2020-04-28,06:44:19,Thursday,2020-05-21,14:12:16,Cancelado,,,Tarjeta de crédito,Tienda física,Recomendación,
Saturday,2022-05-21,07:27:36,Cliente 149,+526601518938,VIP,Semanal,30,No,10,Monday,2022-02-02,08:06:22,Monday,2021-11-08,10:11:19,Cancelado,Cliente 458,,Transferencia bancaria,Online,,Facebook
Sunday,2020-05-20,02:55:02,Cliente 404,+523865634244,VIP,Mensual,14,Sí,2,Friday,2024-11-30,23:42:53,Sunday,2022-04-11,21:51:32,Cancelado,Cliente 476,,Transferencia bancaria,Online,Campaña publicitaria,Google Ads
Friday,2022-09-14,09:02:23,Cliente 431,+527741848010,Básica,Mensual,7,No,10,Tuesday,2021-10-30,06:27:45,Wednesday,2020-01-30,09:30:15,Cancelado,,,Tarjeta de crédito,Online,Campaña publicitaria,Google Ads
Friday,2022-06-27,10:55:32,Cliente 258,+522904975821,Premium,Semanal,7,No,1,Monday,2021-10-02,02:05:45,Saturday,2021-06-18,23:35:38,Cancelado,,$840.92,PayPal,Online,Recomendación,Amigo
Wednesday,2023-03-24,08:20:36,Cliente 166,+526214704970,Básica,Semanal,30,No,3,Tuesday,2022-09-28,10:15:08,Sunday,2020-09-30,15:55:11,Inactivo,Cliente 490,$993.89,Transferencia bancaria,Online,Recomendación,Google Ads
Thursday,2024-12-13,03:01:12,Cliente 36,+527648070107,Básica,Mensual,14,No,2,Wednesday,2021-10-19,17:47:05,Monday,2023-09-28,00:37:46,Activo,,$892.35,PayPal,Online,,Amigo
Sunday,2022-03-19,12:16:22,Cliente 38,+528152114728,VIP,Anual,30,Sí,6,Tuesday,2022-02-17,23:15:45,Friday,2022-03-21,11:58:46,Activo,Cliente 176,$280.13,PayPal,Online,Campaña publicitaria,Google Ads
Wednesday,2023-11-19,04:14:26,Cliente 367,+521033552488,VIP,Mensual,7,No,2,Saturday,2023-01-05,03:00:25,Thursday,2021-11-02,17:58:07,Cancelado,Cliente 351,$742.04,Tarjeta de crédito,Online,Recomendación,Google Ads
Friday,2022-07-23,19:10:19,Cliente 224,+526106499721,VIP,Anual,14,Sí,3,Thursday,2020-12-01,14:11:37,Thursday,2023-07-16,05:00:13,Inactivo,,,PayPal,Tienda física,,Amigo
Wednesday,2024-09-17,15:44:24,Cliente 368,+526623889837,VIP,Mensual,30,No,8,Tuesday,2021-03-30,18:32:40,Wednesday,2023-08-18,19:01:12,Inactivo,Cliente 222,,Tarjeta de crédito,Online,Campaña publicitaria,Google Ads
Thursday,2023-05-19,22:23:00,Cliente 47,+529225910505,VIP,Semanal,7,Sí,0,Wednesday,2022-02-13,19:53:30,Friday,2021-11-13,00:16:42,Inactivo,,$468.75,Tarjeta de crédito,Online,Recomendación,Google Ads
Tuesday,2022-06-11,03:55:09,Cliente 272,+529786127688,Premium,Mensual,30,Sí,6,Saturday,2021-03-18,17:02:34,Tuesday,2021-02-19,05:33:47,Inactivo,,,Transferencia bancaria,Online,Campaña publicitaria,Facebook
Thursday,2022-10-27,07:44:35,Cliente 160,+527204440738,Premium,Anual,30,No,10,Wednesday,2024-08-16,18:13:37,Wednesday,2024-02-11,14:21:50,Inactivo,,,Transferencia bancaria,Online,,Amigo
Monday,2024-02-18,07:43:09,Cliente 42,+521823096229,Básica,Anual,30,Sí,8,Wednesday,2021-02-13,04:59:32,Wednesday,2023-05-07,01:28:33,Cancelado,,,PayPal,Tienda física,,Facebook
Friday,2023-08-19,00:50:08,Cliente 211,+528409292302,Básica,Mensual,30,Sí,0,Wednesday,2024-08-02,16:56:36,Wednesday,2023-07-27,19:50:26,Inactivo,,$914.16,Tarjeta de crédito,Online,,Amigo
Tuesday,2023-01-06,17:19:04,Cliente 11,+525676741658,VIP,Anual,7,Sí,10,Monday,2022-03-09,19:14:36,Friday,2023-07-19,12:00:15,Cancelado,Cliente 19,$523.25,Tarjeta de crédito,Online,Campaña publicitaria,Google Ads
Tuesday,2023-10-15,21:21:59,Cliente 424,+526001839713,Premium,Anual,7,Sí,10,Monday,2020-08-20,16:38:24,Wednesday,2020-01-20,05:33:27,Inactivo,Cliente 465,,Transferencia bancaria,Tienda física,,
Sunday,2024-04-23,08:15:38,Cliente 430,+523140359124,Básica,Semanal,30,Sí,7,Wednesday,2020-02-06,04:20:30,Saturday,2022-04-16,07:32:10,Inactivo,Cliente 463,,PayPal,Tienda física,Recomendación,
Saturday,2022-09-10,23:44:08,Cliente 172,+525873146173,Básica,Anual,7,No,6,Tuesday,2023-03-04,01:59:07,Friday,2023-10-19,21:11:27,Activo,Cliente 13,$431.62,PayPal,Online,Recomendación,Facebook
Thursday,2024-12-16,17:16:38,Cliente 117,+522613555786,Premium,Mensual,30,Sí,7,Saturday,2020-05-18,19:44:44,Friday,2024-08-27,22:11:42,Activo,Cliente 204,,Tarjeta de crédito,Tienda física,Campaña publicitaria,Google Ads
Sunday,2024-09-10,16:41:18,Cliente 182,+521860947255,Básica,Semanal,14,Sí,9,Wednesday,2024-03-11,00:48:12,Thursday,2023-01-02,11:48:32,Inactivo,,$822.49,Tarjeta de crédito,Online,,Amigo
Tuesday,2020-12-23,08:34:48,Cliente 184,+526715788608,Básica,Semanal,14,No,2,Sunday,2024-10-03,20:02:50,Friday,2022-06-21,14:51:44,Activo,Cliente 160,$893.34,Transferencia bancaria,Tienda física,Campaña publicitaria,Google Ads
Saturday,2021-06-18,00:43:58,Cliente 166,+522059828503,Básica,Anual,30,Sí,8,Thursday,2023-02-07,09:05:58,Monday,2023-04-03,00:20:07,Activo,,$927.84,Transferencia bancaria,Online,Recomendación,Facebook
Tuesday,2021-02-10,07:56:59,Cliente 161,+524969873345,Básica,Anual,30,Sí,7,Tuesday,2021-05-24,23:37:23,Monday,2022-12-28,08:41:41,Cancelado,,,Tarjeta de crédito,Tienda física,,
Monday,2020-06-14,05:49:22,Cliente 355,+521544237967,Básica,Semanal,14,Sí,7,Saturday,2023-02-03,15:39:26,Monday,2021-07-18,23:37:54,Inactivo,,$747.95,Tarjeta de crédito,Online,Recomendación,Google Ads
Friday,2020-09-02,21:43:53,Cliente 398,+526187563706,Premium,Mensual,14,Sí,3,Saturday,2023-02-25,04:42:26,Thursday,2021-12-06,02:15:59,Inactivo,Cliente 479,$644.32,Transferencia bancaria,Tienda física,Recomendación,Google Ads
